Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_01	PRO_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6373	44021	0	46956	16914	24172	5870	23456	12257	10618	581	49.95	72.47	43.93	9.9	12287	1023287	37886	3.7	4729	12.48	160301	34178	33697	21.32	23.72	5812	17.01	9991	157	5449	3797	550	35	3	0	8257	82.64	4710	57.04	6258	75.79	+	0.33695	0.47931	0.2022	0.29959
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_02	PRO_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6451	43818	0	46921	15945	24770	6206	23248	11266	11241	741	49.55	70.66	45.38	11.94	12007	1044381	37741	3.61	4688	12.42	163358	33684	33198	20.62	22.86	5800	17.22	9319	204	5003	3543	520	45	4	0	7607	81.63	4370	57.45	5606	73.7	+	0.34268	0.47336	0.20604	0.29829
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_03	PRO_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6489	44007	0	47744	11716	28554	7474	20415	8833	10874	708	42.76	75.39	38.08	9.47	9714	935096	37102	3.97	4776	12.87	144285	32597	32058	22.59	25.1	5908	18.12	6677	201	3702	2377	370	27	0	0	5493	82.27	3250	59.17	4292	78.14	+	0.33325	0.46133	0.19515	0.28041
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_04	PRO_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6466	44181	0	47813	13678	26871	7264	21483	9942	10800	741	44.93	72.69	40.19	10.2	9673	919300	37356	4.06	4996	13.37	141502	32785	32282	23.17	25.78	6190	18.88	7353	248	4007	2632	416	47	3	0	6064	82.47	3762	62.04	4558	75.16	+	0.33307	0.47561	0.19853	0.29448
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_05	PRO_01	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6429	44254	0	47601	16408	24499	6694	22060	11088	10261	711	46.34	67.58	41.88	10.62	9933	939772	37639	4.01	4932	13.1	144224	33254	32754	23.06	25.82	6186	18.6	8752	314	4552	3258	547	72	9	0	7233	82.64	4559	63.03	5088	70.34	+	0.3324	0.46592	0.1996	0.29245
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_06	PRO_01	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6419	44217	0	47250	17755	23429	6066	22434	12143	9604	687	47.48	68.39	40.99	11.33	9904	983612	37662	3.83	5207	13.83	149369	33569	32999	22.47	25.35	6364	18.96	9420	374	5107	3325	562	49	3	0	7824	83.06	4882	62.4	5430	69.4	+	0.34117	0.4873	0.20476	0.30222
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_07	PRO_01	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6426	44115	0	46876	18071	23283	5522	21216	12047	8709	460	45.26	66.66	37.4	8.33	8476	946448	37219	3.93	5432	14.59	140410	33081	32573	23.56	26.85	6772	20.47	9051	389	4669	3346	609	38	0	0	7578	83.73	4815	63.54	5021	66.26	+	0.33327	0.45853	0.20123	0.28939
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_01_08	PRO_01	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6535	43416	0	47032	16066	23734	7232	15451	8940	6160	351	32.85	55.65	25.95	4.85	6009	910846	36434	4	5169	14.19	133795	31825	31231	23.79	27.79	6345	19.94	7901	388	4153	2878	452	30	0	0	6580	83.28	4360	66.26	3723	56.58	+	0.33108	0.45134	0.19703	0.27869
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_02_01	PRO_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6411	44108	0	46434	23024	18758	4652	25938	16860	8426	652	55.86	73.23	44.92	14.02	12366	1102849	38444	3.49	4596	11.96	172918	35024	34535	20.25	22.56	5711	16.31	14272	282	7475	5574	873	64	4	0	10961	76.8	6189	56.46	8223	75.02	+	0.37218	0.52336	0.23475	0.34422
20190618_CF_COLLAB_Dan_A375_SILAC_0_30_120_PRO_02_02	PRO_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6409	44150	0	46784	22384	19132	5268	25299	16198	8353	748	54.08	72.36	43.66	14.2	11349	1057223	38010	3.6	4872	12.82	164689	34192	33667	20.76	23.05	6011	17.58	13340	272	7061	5113	831	59	3	1	10191	76.39	5911	58	7457	73.17	+	0.3643	0.50532	0.22792	0.33239
