Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_01	PROlong_01	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6344	44414	0	46196	36556	6076	3564	29126	25863	2691	572	63.05	70.75	44.29	16.05	13596	1089121	37843	3.47	5556	14.68	164160	34609	34330	21.08	23.28	6776	19.58	42932	1976	20659	16897	3036	335	27	2	18937	44.11	10876	57.43	13014	68.72	+	0.37779	0.52896	0.24562	0.36099
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_02	PROlong_01	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6340	44765	0	47143	35801	6586	4756	27060	23813	2644	603	57.4	66.51	40.15	12.68	11587	1012688	37673	3.72	5513	14.63	156347	34001	33658	21.75	23.99	6645	19.54	40282	1987	19296	15513	3094	349	39	4	18238	45.28	10631	58.29	11793	64.66	+	0.37506	0.52336	0.24438	0.35642
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_03	PROlong_01	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6403	44581	0	47153	32706	9303	5144	25771	22066	3063	642	54.65	67.47	32.92	12.48	10455	963100	36995	3.84	5569	15.05	147329	33114	32717	22.48	25.08	6726	20.31	35600	2211	16766	13519	2710	347	39	8	16534	46.44	9602	58.07	10829	65.5	+	0.37767	0.5343	0.24407	0.36241
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_04	PROlong_01	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6479	44220	0	46941	33770	7729	5442	25714	22272	2854	588	54.78	65.95	36.93	10.8	9824	932408	36355	3.9	5715	15.72	141736	32640	32285	23.03	25.72	6860	21.02	35499	2161	17003	13088	2786	408	45	8	16909	47.63	9834	58.16	10698	63.27	+	0.37552	0.53179	0.2396	0.35367
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_05	PROlong_01	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6293	45291	0	47760	35955	6867	4938	25383	22490	2407	486	53.15	62.55	35.05	9.84	9451	1108155	37596	3.39	5644	15.01	152261	33532	33184	22.02	26.31	6978	20.81	38196	4431	16764	13594	2884	463	59	1	17680	46.29	10636	60.16	10699	60.51	+	0.38737	0.54058	0.25528	0.37746
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_06	PROlong_01	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6286	45341	0	47600	36691	6391	4518	24911	22314	2091	506	52.33	60.82	32.72	11.2	8904	1057090	37461	3.54	5932	15.84	146455	33745	33296	23.04	26.66	7179	21.27	37018	3281	17498	13241	2627	333	36	2	17966	48.53	10757	59.87	10347	57.59	+	0.37807	0.52709	0.24775	0.36498
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_07	PROlong_01	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6354	44846	0	47518	35130	7044	5344	22366	19957	2008	401	47.07	56.81	28.51	7.5	7264	998037	36899	3.7	5981	16.21	134691	32794	32359	24.35	28.52	7251	22.11	33592	3173	15425	12134	2536	299	25	0	16889	50.28	10405	61.61	8862	52.47	+	0.37595	0.5246	0.24674	0.36166
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_01_08	PROlong_01	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6409	44424	0	47497	33209	8142	6146	16661	14655	1630	376	35.08	44.13	20.02	6.12	4906	918195	36022	3.92	6146	17.06	122116	31518	31093	25.81	30.32	7396	23.47	30090	2967	13076	11188	2529	308	21	1	15671	52.08	9681	61.78	6257	39.93	+	0.35919	0.49793	0.23406	0.34781
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_01	PROlong_02	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6317	44982	0	46575	37045	6344	3186	29884	26323	2918	643	64.16	71.06	46	20.18	13543	1183557	38399	3.24	5586	14.55	173034	35246	34936	20.37	23.01	6893	19.56	44412	3109	20613	17003	3281	370	33	3	19174	43.17	11095	57.86	13148	68.57	+	0.38424	0.52941	0.25305	0.36679
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_02	PROlong_02	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6284	45133	0	47095	36331	6840	3924	28549	25164	2857	528	60.62	69.26	41.77	13.46	11926	1113201	37743	3.39	5750	15.23	160212	34200	33880	21.35	24.12	6966	20.37	40420	2867	18573	15323	3256	367	32	2	18309	45.3	10612	57.96	12232	66.81	+	0.38213	0.53382	0.25071	0.36858
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_03	PROlong_02	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6241	45591	0	47944	34328	8910	4706	27770	23759	3394	617	57.92	69.21	38.09	13.11	11197	1076557	37672	3.5	5794	15.38	155315	33858	33510	21.8	24.94	6976	20.6	37815	3272	17744	13759	2668	322	43	7	17235	45.58	9953	57.75	11482	66.62	+	0.38771	0.53953	0.25597	0.37498
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_04	PROlong_02	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6226	45779	0	48067	35523	7968	4576	27933	24268	3089	576	58.11	68.32	38.77	12.59	10569	1059418	38009	3.59	5721	15.05	153904	34365	33980	22.33	25.52	6889	20.05	38578	3343	18597	13540	2624	411	50	13	17865	46.31	10410	58.27	11705	65.52	+	0.38022	0.532	0.24682	0.36075
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_05	PROlong_02	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6140	46343	0	48832	37049	6805	4978	27614	24423	2701	490	56.55	65.92	39.69	9.84	10072	1052439	38480	3.66	5664	14.72	150187	34548	34162	23	26.15	6985	20.22	38480	3161	17527	14044	3108	574	65	1	18392	47.8	10933	59.44	11817	64.25	+	0.37615	0.52788	0.24973	0.37224
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_06	PROlong_02	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6186	46070	0	48608	36982	6550	5076	26126	23451	2133	542	53.75	63.41	32.56	10.68	9080	1067646	37833	3.54	5950	15.73	149406	34018	33550	22.77	26.38	7192	21.14	37843	3709	17367	13503	2822	401	37	4	18128	47.9	10769	59.41	10908	60.17	+	0.37453	0.5261	0.24528	0.36339
