,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000011673,750.910723,-5.14587703,0.844239952,-6.095277793,1.09E-09,2.12E-07
ENSDARG00000075191,328.7229431,-4.92915246,0.859107294,-5.737528358,9.61E-09,1.25E-06
ENSDARG00000068247,126.8340083,-4.308743511,0.847186852,-5.085942375,3.66E-07,2.36E-05
ENSDARG00000037545,28.68950254,-4.187878668,0.864791818,-4.842643723,1.28E-06,6.35E-05
ENSDARG00000087071,37.47884449,-4.077199743,0.849994247,-4.796738043,1.61E-06,7.72E-05
ENSDARG00000078916,1199.747098,-3.930166961,0.8667549,-4.534346402,5.78E-06,0.00022315
ENSDARG00000013125,88.73969667,-3.904765274,0.825439646,-4.730527896,2.24E-06,0.000102016
ENSDARG00000098511,22.5180951,-3.826457129,0.807844618,-4.736625143,2.17E-06,0.0001002
ENSDARG00000061819,335.0956555,-3.800076267,0.828092406,-4.588951956,4.45E-06,0.000183641
ENSDARG00000056753,90.00105872,-3.798389583,0.781850144,-4.858206666,1.18E-06,5.92E-05
ENSDARG00000075540,213.6982798,-3.604519585,0.836497335,-4.309062845,1.64E-05,0.000527154
ENSDARG00000058738,19.9897542,-3.553359969,0.788724969,-4.505195232,6.63E-06,0.000251105
ENSDARG00000007195,114.7679308,-3.512545235,0.816327143,-4.302864685,1.69E-05,0.000537597
ENSDARG00000039502,124.6549487,-3.341598639,0.742596949,-4.499881994,6.80E-06,0.000255654
ENSDARG00000078362,464.1940684,-3.328314055,0.703173941,-4.733272753,2.21E-06,0.000101215
ENSDARG00000055852,224.6123458,-3.317113116,0.651037788,-5.095116097,3.49E-07,2.27E-05
ENSDARG00000100646,4.174678545,-3.243974607,0.875308418,-3.706093236,0.000210481,0.004334204
ENSDARG00000040938,75.25657682,-3.156520454,0.866963724,-3.64089104,0.000271696,0.005246334
ENSDARG00000103750,2078.600817,-3.118411568,0.868946945,-3.588724934,0.000332299,0.006166125
ENSDARG00000074601,157.9439541,-3.116985265,0.798931775,-3.901441104,9.56E-05,0.002275669
ENSDARG00000008720,21.96077987,-3.085472918,0.817527653,-3.774151131,0.000160553,0.003494446
ENSDARG00000004455,393.4156158,-3.051195753,0.675420445,-4.517476153,6.26E-06,0.000239521
ENSDARG00000077341,238.1156135,-3.032826587,0.841138531,-3.605620803,0.000311408,0.00583412
ENSDARG00000110496,11.96398173,-3.023699569,0.875871295,-3.452219047,0.000555996,0.009207073
ENSDARG00000094377,14.03899835,-2.993895839,0.871956909,-3.433536461,0.000595762,0.009693233
ENSDARG00000006816,47.68724302,-2.958736922,0.841332001,-3.516729326,0.000436899,0.007643054
ENSDARG00000001785,863.0206357,-2.939585785,0.874793137,-3.360321041,0.000778519,0.011931536
ENSDARG00000067984,132.775922,-2.899599691,0.799145565,-3.628374879,0.000285211,0.005453161
ENSDARG00000028845,2965.564548,-2.87771723,0.798289027,-3.604856301,0.000312326,0.005843191
ENSDARG00000077228,132.9718445,-2.852517714,0.777756577,-3.667622749,0.000244816,0.00486336
ENSDARG00000044325,105.2504462,-2.830246738,0.712771098,-3.970765293,7.16E-05,0.001794828
ENSDARG00000014624,17.44683011,-2.812168995,0.783863262,-3.587575961,0.000333767,0.006174846
ENSDARG00000068191,86.36739913,-2.811684022,0.871782187,-3.225213894,0.001258786,0.017545096
ENSDARG00000023445,7.872493793,-2.789420218,0.781308995,-3.570188281,0.000356725,0.00651571
ENSDARG00000026882,207.8245356,-2.783649781,0.6821097,-4.080941498,4.49E-05,0.001201056
ENSDARG00000033655,606.5913585,-2.766472048,0.809164804,-3.418922861,0.000628695,0.010143997
ENSDARG00000026333,13.61805602,-2.761692186,0.842112307,-3.279482041,0.001039978,0.015044176
ENSDARG00000078915,62.80866434,-2.739423711,0.737191752,-3.716025993,0.000202381,0.00418756
ENSDARG00000057227,15.43521834,-2.680039437,0.784117733,-3.417904385,0.000631053,0.010161836
ENSDARG00000059997,51.95434495,-2.671472712,0.807152741,-3.309748671,0.000933798,0.013816462
ENSDARG00000116915,82.37776463,-2.667283503,0.796884314,-3.347140177,0.000816499,0.012424608
ENSDARG00000061351,192.3443931,-2.661323778,0.651952221,-4.082084075,4.46E-05,0.001196663
ENSDARG00000038974,22.24786303,-2.656810032,0.804896763,-3.300808443,0.000964067,0.014156629
ENSDARG00000055498,301.3909384,-2.65623153,0.710217735,-3.74002422,0.000184003,0.003897756
ENSDARG00000037429,297.7566413,-2.650473122,0.780887544,-3.394180303,0.000688344,0.01081375
ENSDARG00000053386,2.73178849,-2.648173177,0.876124072,-3.022600636,0.002506127,0.030378808
ENSDARG00000025595,92.53091866,-2.604741907,0.782709631,-3.327852125,0.000875183,0.013094085
