id,Protein names,Gene names,STY_30m_med,STY_4h_med
0,Serpin B6,SERPINB6,1.0039725,1.0116100000000001
1,Neuropilin-2,NRP2,0.93676,1.01326
2,Vigilin,HDLBP,1.00712,1.0007225000000002
3,Transmembrane protein 120A,TMEM120A;TMPIT,0.909735,1.01391
4,40S ribosomal protein S9,RPS9,0.97672,1.0036749999999999
5,tRNA-splicing endonuclease subunit Sen34,TSEN34,1.27275,1.016585
7,YTH domain-containing family protein 3,YTHDF3,0.8745175000000001,0.9980225
8,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,1.0343999999999998,1.0034975
9,Transcription elongation factor B polypeptide 3,TCEB3,1.34415,1.2563
10,Solute carrier family 22 member 18,SLC22A18,0.9846325,1.01635
11,Lysosomal thioesterase PPT2,PPT2;hCG_1999928,21.345,NA
12,Large proline-rich protein BAG6,BAT3;BAG6,1.106825,0.9969075000000001
18,"28S ribosomal protein S21, mitochondrial",MRPS21,1.0601850000000002,0.91324
20,TATA-binding protein-associated factor 2N,TAF15,1.160915,0.957865
24,Nucleobindin-2;Nesfatin-1,HEL-S-109;NUCB2;Nucb2,1.0502025,1.0705
25,Lymphoid-specific helicase,HELLS,1.0402500000000001,0.9586874999999999
26,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,1.04746,1.0486275
27,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,1.0065899999999999,0.9309625
29,GRIP1-associated protein 1,GRIPAP1,1.109475,1.1241249999999998
31,Ester hydrolase C11orf54,C11orf54,1.150975,0.930745
33,Translation initiation factor eIF-2B subunit delta,EIF2B4,0.9017550000000001,1.0330575
36,Neural cell adhesion molecule 1,NCAM1,1.163825,0.79778
37,Enolase-phosphatase E1,ENOPH1,1.145975,1.0127199999999998
38,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta,PTPRJ,0.812195,0.9463175
39,Roundabout homolog 1,ROBO1,1.251425,1.9214
40,Apolipoprotein B-100;Apolipoprotein B-48,APOB,0.5387225,0.20002999999999999
41,DNA-directed RNA polymerase III subunit RPC7,POLR3G,1.11001,0.98041
42,E3 ubiquitin-protein ligase UHRF1,UHRF1,1.061475,0.96482
43,Zinc transporter SLC39A7,SLC39A7,0.87505,NA
44,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,1.3214225,1.3837
45,MICOS complex subunit MIC10,MINOS1;MINOS1-NBL1,1.3265250000000002,1.0245575
46,Chloride channel protein;H(+)/Cl(-) exchange transporter 3,CLCN3,0.9895824999999999,0.95511
47,Magnesium transporter protein 1,MAGT1,1.049375,1.0061675
49,Beta-catenin-like protein 1,CTNNBL1,1.0504000000000002,1.0636649999999999
50,Signal peptidase complex subunit 2,SPCS2,1.021025,1.0454750000000002
51,G antigen 12F;G antigen 4;G antigen 12I;G antigen 12G;G antigen 7;G antigen 1;G antigen 6;G antigen 5;G antigen 12H;G antigen 12B/C/D/E;G antigen 3,GAGE2E;GAGE12F;GAGE4;GAGE12I;GAGE12G;GAGE7;GAGE1;GAGE6;GAGE5;GAGE12H;GAGE12B;GAGE3,0.8934675000000001,0.89497
53,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5,1.191425,1.007355
