id,Protein names,Gene names,PRO_30m_med,PRO_4h_med
0,Serpin B6,SERPINB6,1.0063,0.99235
1,Neuropilin-2,NRP2,0.94161,1.0221
2,Vigilin,HDLBP,1.0029,1.0032
3,Transmembrane protein 120A,TMEM120A;TMPIT,0.97882,1.0406
4,40S ribosomal protein S9,RPS9,0.98134,1.0176
5,tRNA-splicing endonuclease subunit Sen34,TSEN34,1.2608,0.98018
7,YTH domain-containing family protein 3,YTHDF3,0.9076,0.99765
8,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,1.0367,1.0034
9,Transcription elongation factor B polypeptide 3,TCEB3,1.3091,1.1329
10,Solute carrier family 22 member 18,SLC22A18,0.98726,1.0166
12,Large proline-rich protein BAG6,BAT3;BAG6,1.1111,1.0044
18,"28S ribosomal protein S21, mitochondrial",MRPS21,1.0526,0.91822
20,TATA-binding protein-associated factor 2N,TAF15,1.0381,1.0155
24,Nucleobindin-2;Nesfatin-1,HEL-S-109;NUCB2;Nucb2,1.0471,1.0668
25,Lymphoid-specific helicase,HELLS,1.0415,0.96751
26,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,1.0564,1.0564
27,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,1.0089,0.93049
29,GRIP1-associated protein 1,GRIPAP1,1.09,1.153
31,Ester hydrolase C11orf54,C11orf54,1.2051,0.92432
33,Translation initiation factor eIF-2B subunit delta,EIF2B4,0.9768,1.0285
36,Neural cell adhesion molecule 1,NCAM1,1.1174,0.76604
37,Enolase-phosphatase E1,ENOPH1,1.1367,1.1114
38,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta,PTPRJ,0.80295,0.96725
39,Roundabout homolog 1,ROBO1,1.2903,2.2051
40,Apolipoprotein B-100;Apolipoprotein B-48,APOB,0.53114,0.27914
41,DNA-directed RNA polymerase III subunit RPC7,POLR3G,1.0987,1.067
42,E3 ubiquitin-protein ligase UHRF1,UHRF1,1.0546,0.9628
44,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,1.3729,1.2054
45,MICOS complex subunit MIC10,MINOS1;MINOS1-NBL1,1.2131,1.0027
46,Chloride channel protein;H(+)/Cl(-) exchange transporter 3,CLCN3,0.95339,0.94234
47,Magnesium transporter protein 1,MAGT1,1.0389,1.0105
49,Beta-catenin-like protein 1,CTNNBL1,1.0475,1.0698
50,Signal peptidase complex subunit 2,SPCS2,1.0253,1.0382
51,G antigen 12F;G antigen 4;G antigen 12I;G antigen 12G;G antigen 7;G antigen 1;G antigen 6;G antigen 5;G antigen 12H;G antigen 12B/C/D/E;G antigen 3,GAGE2E;GAGE12F;GAGE4;GAGE12I;GAGE12G;GAGE7;GAGE1;GAGE6;GAGE5;GAGE12H;GAGE12B;GAGE3,0.90036,0.88834
53,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5,1.2891,1.1213
58,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),TKFC;DAK,0.93268,0.95932
59,Synaptojanin-2-binding protein,SYNJ2BP-COX16;SYNJ2BP,0.94732,1.0145
62,Glutathione peroxidase;Glutathione peroxidase 1,GPX1,1.0287,0.90659
63,Low-density lipoprotein receptor-related protein 1B,LRP1B,0.90444,0.95415
64,40S ribosomal protein S24,RPS24,0.99817,1.0029
65,Eukaryotic translation initiation factor 5B,EIF5B,1.0125,0.98492
66,"Zinc finger protein 36, C3H1 type-like 2;Zinc finger protein 36, C3H1 type-like 1",ZFP36L2;ZFP36L1,0.97493,1.086
67,NF-kappa-B essential modulator,IKBKG,1.124,1.4083
69,MICOS complex subunit MIC27,APOOL,1.4111,1.0598
71,C-Myc-binding protein,MYCBP,1.0087,0.93302
73,"Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed",LAMTOR4,1.1181,0.9117
75,Antigen KI-67,MKI67,1.7042,1.3934
76,Mannose-P-dolichol utilization defect 1 protein,MPDU1;HBEBP2BPA,1.0022,1.1159
77,Stromal membrane-associated protein 2,SMAP2,1.8164,1.0914
78,Selenoprotein T,SELT,1.0613,1.0043
80,ATP-dependent RNA helicase DDX50,DDX50,1.1447,2.13
81,Intersectin-2,ITSN2,1.2468,1.1783
83,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,1.0042,0.99808
84,Clathrin heavy chain;Clathrin heavy chain 1,CLTC,1.0178,1.0296
88,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,1.094,0.95021
91,Endophilin-B1,SH3GLB1,1.1043,1.1351
94,Ethanolaminephosphotransferase 1,EPT1,1.2335,1.1563
96,Lethal(2) giant larvae protein homolog 1,LLGL1,0.98053,1.046
97,Low-density lipoprotein receptor-related protein 8,LRP8,1.0838,1.3108
99,DNA polymerase delta subunit 2,POLD2,0.94732,1.1261
102,Putative RNA-binding protein 15,RBM15,1.1828,1.0226
103,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase gamma,PTPRG,0.86817,0.90943
104,THO complex subunit 1,THOC1,1.1583,1.2842
106,Gamma-adducin,ADD3,1.293,2.0163
107,TAR DNA-binding protein 43,TARDBP,0.99569,1.0322
108,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,1.1666,1.043
112,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,0.86537,0.97998
113,Protein FAM83D,FAM83D,1.402,1.0649
