Zebrafish chromosome,Start position,Stop position,Amplification_G-score,Deletion_G-score,Amplification_q-value,Deletion_q-value,Zebrafish gene ID
zv1,74985,80899,145,1136,0,4.312122376,ZDB-GENE-041010-126
zv1,82875,89602,145,1015,0,3.364056746,ZDB-GENE-040625-171
zv1,217983,228857,145,1015,0,3.364056746,ZDB-GENE-061013-657
zv1,383582,388483,145,1080,0,3.908168465,ZDB-GENE-041114-12
zv1,388683,392773,145,1080,0,3.908168465,ZDB-GENE-051030-63
zv1,393550,399130,145,1080,0,3.908168465,ZDB-GENE-090313-163
zv1,399085,405632,145,1011,0,3.79078045,ZDB-GENE-041122-1
zv1,484779,489335,145,1011,0,3.324101669,ZDB-GENE-040426-2534
zv1,15962,21248,145,1136,0,4.312122376,ZDB-GENE-010814-1
zv1,23256,58985,145,1136,0,4.312122376,ZDB-GENE-021206-10
zv1,32020,38477,145,1136,0,4.312122376,ZDB-GENE-021206-9
zv1,48010,53546,145,1136,0,4.312122376,ZDB-GENE-041114-79
zv1,62118,66487,145,1136,0,4.312122376,ZDB-GENE-040426-2733
zv1,93296,99795,145,1015,0,3.364056746,ZDB-GENE-071030-1
zv1,101932,116399,145,1015,0,3.364056746,ZDB-GENE-040426-1746
zv1,134730,170748,145,1015,0,3.364056746,ZDB-GENE-060929-860
zv1,187475,213136,145,1015,0,3.364056746,ZDB-GENE-030131-7773
zv1,340910,346228,145,1015,0,3.364056746,ZDB-GENE-040718-53
zv1,348782,368977,145,1015,0,3.364056746,ZDB-GENE-050327-28
zv1,368994,380317,145,1015,0,3.364056746,ZDB-GENE-010724-1
zv1,407504,466028,145,1011,0,3.324101669,ZDB-GENE-030131-6520
zv1,469281,482944,145,1011,0,3.324101669,ZDB-GENE-031204-3
zv1,496071,508054,145,1011,0,3.324101669,ZDB-GENE-000616-13
zv1,119767,132829,145,1015,0,3.364056746,ZDB-GENE-050823-1
zv1,232209,286022,145,1015,0,3.364056746,ZDB-GENE-090313-21
zv1,566149,571141,359,779,0,1.496435075,ZDB-GENE-040426-1412
zv1,581651,588152,359,779,0,1.496435075,ZDB-GENE-050417-287
zv1,571455,658993,359,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,599608,604250,323,779,0,1.496435075,ZDB-GENE-031030-11
zv1,604353,609300,323,779,0,1.496435075,ZDB-GENE-020419-25
zv1,571455,658993,323,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,363,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,295,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,243,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,228,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,642738,644549,243,938,0,2.744792143,ZDB-GENE-030131-7567
zv1,571455,658993,243,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,219,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,571455,658993,202,963,0,2.125530956,ZDB-GENE-030131-1928
zv1,652431,657335,202,963,0,2.932045591,ZDB-GENE-040426-1357
zv1,989727,1015830,158,987,0,3.12430373,ZDB-GENE-000616-14
zv1,1063377,1075836,122,987,0,3.12430373,ZDB-GENE-000605-1
zv1,1546143,1553618,130,926,0,2.645997134,ZDB-GENE-001212-2
zv1,1562080,1572446,130,926,0,2.645997134,ZDB-GENE-001212-3
zv1,1446561,1462945,130,924,0,2.633147269,ZDB-GENE-001212-4
zv1,1468926,1550157,130,926,0,2.521243061,ZDB-GENE-001212-1
zv1,1594950,1606890,130,881,0,2.511097151,ZDB-GENE-020501-1
zv1,1299844,1314361,130,963,0,2.932045591,ZDB-GENE-110718-3
zv1,1594950,1606890,106,881,0,2.511097151,ZDB-GENE-020501-1
zv1,1594950,1606890,66,881,0,2.511097151,ZDB-GENE-020501-1
zv1,1623838,1627033,173,877,0,2.264215932,ZDB-GENE-090313-25
zv1,1623529,1684908,173,877,0,2.310434889,ZDB-GENE-090312-148
zv1,1623529,1684908,203,877,0,2.310434889,ZDB-GENE-090312-148
zv1,1623529,1684908,243,877,0,2.310434889,ZDB-GENE-090312-148
zv1,1623529,1684908,129,877,0,2.310434889,ZDB-GENE-090312-148
zv1,1655695,1656629,279,921,0,2.608381843,ZDB-GENE-091204-469
zv1,1661205,1665448,279,877,0,2.272877215,ZDB-GENE-090313-26
zv1,1672753,1680039,279,877,0,2.272877215,ZDB-GENE-090313-24
zv1,1623529,1684908,279,877,0,2.310434889,ZDB-GENE-090312-148
zv1,1781871,1783886,129,877,0,2.272877215,ZDB-GENE-090312-3
zv1,1804833,1808385,129,877,0,2.272877215,ZDB-GENE-060421-6734
zv1,1817216,1818205,129,877,0,2.272877215,ZDB-GENE-090312-23
zv1,1831299,1832315,129,877,0,2.272877215,ZDB-GENE-090312-1
zv1,1858327,1974647,129,877,0,2.208553228,ZDB-GENE-030131-9582
zv1,1858327,1974647,89,877,0,2.208553228,ZDB-GENE-030131-9582
zv1,1858327,1974647,129,877,0,2.208553228,ZDB-GENE-030131-9582
zv1,1858327,1974647,164,877,0,2.208553228,ZDB-GENE-030131-9582
zv1,1979149,1996905,124,877,0,2.272877215,ZDB-GENE-090312-116
zv1,2017193,2056339,124,877,0,2.272877215,ZDB-GENE-030424-2
zv1,1858327,1974647,124,877,0,2.208553228,ZDB-GENE-030131-9582
zv1,2017193,2056339,94,877,0,2.272877215,ZDB-GENE-030424-2
zv1,2058744,2200996,94,876,0,2.419527425,ZDB-GENE-070424-163
zv1,2088423,2091040,71,976,0,3.033384914,ZDB-GENE-091204-440
zv1,2058744,2200996,71,876,0,2.419527425,ZDB-GENE-070424-163
zv1,2692808,2706447,128,863,0,2.169839891,ZDB-GENE-030131-8292
zv1,2058744,2200996,128,876,0,2.419527425,ZDB-GENE-070424-163
zv1,4171021,4174337,130,766,0,1.39465696,ZDB-GENE-030131-7038
zv1,4311593,4323415,130,702,0,0.895081988,ZDB-GENE-050417-102
zv1,5082292,5088945,130,765,0,1.391488757,ZDB-GENE-060929-384
zv1,4243643,4283906,130,596,0,0.915263562,ZDB-GENE-040426-2662
zv1,4291630,4308270,130,675,0,0,ZDB-GENE-040426-1646
zv1,4326544,4393284,130,835,0,1.667422029,ZDB-GENE-011212-4
zv1,4338931,4344656,130,813,0,1.766764233,ZDB-GENE-040415-2
zv1,4393282,4432219,130,765,0,1.701666498,ZDB-GENE-030131-6545
zv1,4464895,4476319,130,765,0,1.391488757,ZDB-GENE-070619-6
zv1,4495204,4529808,130,765,0,1.391488757,ZDB-GENE-040611-2
zv1,4932066,4949410,130,765,0,1.391488757,ZDB-GENE-091204-447
zv1,4998836,5022269,130,765,0,1.391488757,ZDB-GENE-050517-9
zv1,5025590,5033477,130,765,0,1.391488757,ZDB-GENE-030131-6808
zv1,5035245,5049192,130,765,0,1.391488757,ZDB-GENE-091204-419
zv1,5053609,5074378,130,765,0,1.391488757,ZDB-GENE-061215-128
zv1,5089153,5104178,130,765,0,1.391488757,ZDB-GENE-090313-7
zv1,5125555,5136072,130,765,0,1.391488757,ZDB-GENE-040914-80
zv1,5266776,5357592,130,765,0,1.391488757,ZDB-GENE-050522-276
zv1,5509737,5527331,130,768,0,1.410243643,ZDB-GENE-040426-2557
zv1,5834759,5867690,130,768,0,1.410243643,ZDB-GENE-090313-93
zv1,6454788,6484171,130,733,0,1.167129416,ZDB-GENE-030721-6
zv1,5503645,5509564,130,768,0,1.410243643,ZDB-GENE-090312-164
zv1,5694955,5803070,130,768,0,1.410243643,ZDB-GENE-030918-4
zv1,6398652,6426403,130,698,0,0.929104114,ZDB-GENE-010618-1
zv1,6488341,6496206,157,740,0,1.217619437,ZDB-GENE-030721-5
zv1,6497301,6501557,157,740,0,1.217619437,ZDB-GENE-041010-130
zv1,6504059,6519613,157,740,0,1.217619437,ZDB-GENE-000322-6
zv1,6518806,6541073,157,757,0,1.324390866,ZDB-GENE-040924-1
zv1,6518806,6541073,130,757,0,1.324390866,ZDB-GENE-040924-1
zv1,6750436,6754481,154,757,0,1.339746738,ZDB-GENE-980526-6
zv1,6760701,6772194,154,757,0,1.339746738,ZDB-GENE-040426-736
