ensembl_gene_id,external_gene_name,hsapiens_homolog_associated_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000000161,itsn2a,ITSN2,65.1587735,-1.830315331,0.603221761,-3.034232929,0.002411482,0.02944843
ENSDARG00000000189,sema6e,SEMA6C,1837.535283,1.42220955,0.483817607,2.939557239,0.003286816,0.03740501
ENSDARG00000000212,krt97,,1449.110217,2.948127271,0.817842207,3.60476293,3.12438e-4,0.005843191
ENSDARG00000000606,dnah6,DNAH6,33.35053388,-2.259989105,0.793065141,-2.849689123,0.004376198,0.046861239
ENSDARG00000000730,slc6a22.1,,204.3484856,2.057129095,0.438437472,4.691955474,2.71e-6,1.20366e-4
ENSDARG00000000767,spi1b,SPI1,796.3373727,1.444231315,0.449542006,3.212672663,0.001315061,0.018177804
ENSDARG00000000804,rassf6,RASSF6,29.82981508,3.586591264,0.796803744,4.501222904,6.76e-6,2.54942e-4
ENSDARG00000000906,skap2,SKAP2,621.9622722,2.27490637,0.597616884,3.806630016,1.40873e-4,0.00314284
ENSDARG00000001498,skap1,SKAP1,45.52396497,2.593539069,0.564256504,4.596383115,4.3e-6,1.77557e-4
ENSDARG00000001733,gulp1a,GULP1,86.05036108,2.723401874,0.624980436,4.357579402,1.32e-5,4.37579e-4
ENSDARG00000001782,prkacba,PRKACG,54.17273911,1.931952239,0.491404268,3.931492588,8.44e-5,0.002054799
ENSDARG00000001785,irx2a,IRX2,863.0206357,-2.939585785,0.874793137,-3.360321041,7.78519e-4,0.011931536
ENSDARG00000001803,kcnh6a,KCNH3,43.93023971,1.94259058,0.457549347,4.245641682,2.18e-5,6.62421e-4
ENSDARG00000001803,kcnh6a,HCN3,43.93023971,1.94259058,0.457549347,4.245641682,2.18e-5,6.62421e-4
ENSDARG00000001897,man2b1,AC010422.3,2200.24703,0.911972018,0.292627414,3.116495494,0.001830145,0.023687808
ENSDARG00000001897,man2b1,AC010422.5,2200.24703,0.911972018,0.292627414,3.116495494,0.001830145,0.023687808
ENSDARG00000001897,man2b1,MAN2B1,2200.24703,0.911972018,0.292627414,3.116495494,0.001830145,0.023687808
ENSDARG00000001909,vill,VILL,16.82351391,2.862030489,0.80245776,3.566580859,3.61669e-4,0.006585458
ENSDARG00000001976,fkbp16,,6.364775066,2.684541382,0.852934583,3.147417675,0.001647195,0.02189824
ENSDARG00000002235,mmp14a,MMP14,754.1336462,1.934617193,0.533736542,3.62466693,2.89334e-4,0.005517204
ENSDARG00000002298,ankrd22,ANKRD22,39.19317337,2.720012519,0.662282881,4.107025256,4.01e-5,0.001099339
ENSDARG00000002299,arsh,ARSD,337.6431704,1.255114871,0.403012435,3.114332865,0.001843614,0.023804536
ENSDARG00000002300,p2rx2,P2RX2,24.29110141,-2.096523491,0.637203616,-3.290193962,0.001001183,0.014601445
ENSDARG00000002391,tlcd1,TLCD1,64.09085209,1.821031157,0.589076185,3.091333858,0.0019925950000000002,0.025211807
ENSDARG00000002445,prdm1a,PRDM1,119.1964625,1.974040449,0.556091682,3.549847111,3.85455e-4,0.006889564
ENSDARG00000002483,wnt7ab,WNT7A,5.216915641,2.433531147,0.826880462,2.943026541,0.003250206,0.03704652
