id,Protein names,Gene names,PROlong_mean
0,Serpin B6,SERPINB6,1.2402333333333333
1,Hepatoma-derived growth factor-related protein 3,HDGFRP3,1.1438
2,Neuropilin-2,NRP2,1.5722
3,Vigilin,HDLBP,0.9879433333333333
4,Transmembrane protein 120A,TMEM120A;TMPIT,1.0859333333333334
5,40S ribosomal protein S9,RPS9,0.8874233333333333
6,tRNA-splicing endonuclease subunit Sen34,TSEN34,1.0547333333333333
7,Ceroid-lipofuscinosis neuronal protein 5,CLN5,1.1210333333333333
8,YTH domain-containing family protein 3,YTHDF3,0.8937633333333334
9,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,1.0451666666666666
10,Transcription elongation factor B polypeptide 3,TCEB3,0.9861666666666666
11,Solute carrier family 22 member 18,SLC22A18,1.3064333333333333
12,Lysosomal thioesterase PPT2,PPT2;hCG_1999928,0.70538
13,Large proline-rich protein BAG6,BAT3;BAG6,0.9337733333333333
14,Kelch repeat and BTB domain-containing protein 4,KBTBD4,0.078676
15,Epiplakin,EPPK1,0.9997050000000001
16,"28S ribosomal protein S21, mitochondrial",MRPS21,0.80339
18,Nuclear envelope pore membrane protein POM 121;Nuclear envelope pore membrane protein POM 121C,POM121C;POM121,0.59345
20,Nucleobindin-2;Nesfatin-1,NUCB2;HEL-S-109;Nucb2,1.2378333333333333
21,Lymphoid-specific helicase,HELLS,0.73077
22,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,1.0963
23,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,0.86381
24,JmjC domain-containing protein 4,JMJD4,2.2532
25,Ester hydrolase C11orf54,C11orf54,1.0884333333333334
26,Translation initiation factor eIF-2B subunit delta,EIF2B4,1.01563
27,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial",RPP14,0.94063
28,Neural cell adhesion molecule 1,NCAM1,0.8714166666666666
29,Enolase-phosphatase E1,ENOPH1,1.05149
31,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta,PTPRJ,1.0779666666666667
32,Roundabout homolog 1,ROBO1,1.0888499999999999
33,Apolipoprotein B-100;Apolipoprotein B-48,APOB,0.35707666666666665
